A1,Miyapur
A2,JNTU College
A3,KPHB Colony
A4,Kukatpally
A5,Balanagar
A6,Moosapet
A7,Bharat Nagar
A8,Erragadda
A9,ESI Hospital
A10,S R Nagar
X1,Ameerpet
A12,Punjagutta
A13,Irrum Manzil
A14,Khairatabad
A15,Lakdikapul
A16,Assembly
A17,Nampally
A18,Gandhi Bhavan
A19,Osmania Medical College
X2,M G Bus station
A21,Malakpet
A22,New Market
A23,Musarambagh
A24,Dilsukhnagar
A25,Chaitanyapuri
A26,Victoria Memorial
A27,L B Nagar
B1,JB
X3,Parade Ground
B3,Secunderaba
B4,Gandhi Hospita
B5,Musheeraba
B6,RTC Cross Road
B7,Chikkadpall
B8,Narayangud
B9,Sultan Baza
X2,M G Bus Station
B11,Salarjung Museum
B12,Charminar
B13,Shaliband
B14,Shamsher Gun
B15,Jungametta
B16,Falaknuma
C1,Nagol
C2,Uppal
C3,Survey of India
C4,NGR
C5,Habsiguda
C6,Tarnak
C7,Mettuguda
C8,Secunderabad
X3,Parade Grounds
C10,Paradise
C11,Rasool Pur
C12,Prakash Nagar
C13,Begumpet
X1,Ameerpet
C15,Madhura Nagar
C16,Yusuf Guda
C17,Road No 5 Jubilee Hills
C18,Jubilee Hills Check Post
C19,Pedamma Templ3
C20,Madhapur
C21,Durgam Chervu
C22,HITEC City
C23,Shilparamam
